Year,Country,HDI,LifeExp,ExRate,TradeIM,TradeEX,Pop,AgeDib,LitRate,Gini,ExpImp
2000,Israel,0.853,0.906,4.077333333,7745.8,12964.4,6289000,61.89212826,,,71.3
2001,Israel,0.857,0.91,4.20565,7475.3,11959.2,6439000,61.92434639,,,
2002,Israel,0.865,0.914,4.737825,7026.7,12415.7,6570000,61.9885715,,,
2003,Israel,0.865,0.919,4.554133333,6892.051704,12768.5641,6689700,62.06188099,,,
2004,Israel,0.867,0.923,4.481983333,9169.053561,14551.46859,6809000,62.11250378,,,
2005,Israel,0.871,0.927,4.4877,9737.340849,16830.46608,6930100,62.12615126,,,81.7
2006,Israel,0.872,0.931,4.455808333,10964.81751,19166.7578,7053700,62.2706188,,,
2007,Israel,0.881,0.935,4.108082949,12887.47704,20794.41321,7180100,62.35771981,,,
2008,Israel,0.88,0.939,3.588021194,14486.86316,22335.83479,7308800,62.3898493,,,
2009,Israel,0.882,0.942,3.932335478,9559.356487,18744.35659,7485600,62.36919047,,,
2010,Israel,0.887,0.946,3.738975,11295.0206,20984.76029,7623600,62.28786001,,38.9,67.9
2011,Israel,0.892,0.949,3.578129306,13961.6161,23046.60676,7765800,62.05032656,,38.9,71.5
2012,Israel,0.893,0.951,3.855921825,14273.49843,22131.11038,7910500,61.78310776,,38.9,72
2013,Israel,0.895,0.954,3.610758333,13743.69104,22783.31367,8059500,61.49417939,,38.9,65.5
2014,Israel,0.9,0.957,3.577925,15072.95542,23007.05702,8215700,61.19835304,,38.9,62.9
2015,Israel,0.901,0.959,3.886833333,13539.21156,24494.77052,8380100,60.91262883,,38.9,59.4
2016,Israel,0.902,0.962,3.840566667,13199.44239,22203.05871,8546000,60.60107399,,38.9,58
2017,Israel,0.904,0.964,3.599555548,12547.57251,21944.95698,8713300,60.32990904,,38.9,56.8
2018,Israel,0.906,0.966,3.590558127,13709.27719,21777.16733,8882800,60.09776752,,,
1998,Japan,0.847,0.933,130.9053007,57831,121845.1,126400000,68.78648133,,,
1999,Japan,0.85,0.937,113.906805,57466,130863.8,126631000,68.51505901,,,
2000,Japan,0.855,0.941,107.7654983,64924.4,146479.4,126843000,68.23167739,,,19.8
2001,Japan,0.859,0.945,121.5289475,57451.5,126473.1,127149000,67.9135661,,,
2002,Japan,0.862,0.949,125.3880192,51449.2,121428.6,127445000,67.60306058,,,
2003,Japan,0.865,0.952,115.9334642,52004.27723,118036.6455,127718000,67.28177834,,,
2004,Japan,0.869,0.955,108.1925692,53568.69367,129805.1987,127761000,66.92461038,,,
2005,Japan,0.873,0.958,110.2182117,54680.57985,138003.6962,127773000,66.51776712,,,26.5
2006,Japan,0.877,0.96,116.2993117,58458.97807,148180.7756,127854000,66.13530358,,,
2007,Japan,0.88,0.963,117.7535292,61159.58277,145463.3426,128001000,65.71562294,,,
2008,Japan,0.881,0.965,103.359494,65141.75312,139262.197,128063000,65.25157967,,,
2009,Japan,0.88,0.967,93.57008909,51134.1842,95803.68337,128047000,64.73165078,,,
2010,Japan,0.885,0.969,87.779875,60471.85213,120552.1452,128070000,64.14714689,,32.1,28.6
2011,Japan,0.89,0.971,79.80701983,65799.73671,128927.8895,127833000,63.53572342,,32.1,30.4
2012,Japan,0.895,0.974,79.79045542,69975.78686,146431.693,127629000,62.87957917,,32.1,30.6
2013,Japan,0.9,0.976,97.59565828,65237.41409,138575.3419,127445000,62.20848909,,32.1,34.1
2014,Japan,0.904,0.98,105.944781,66891.84265,134504.5428,127276000,61.5688117,,32.1,37.5
2015,Japan,0.906,0.983,121.0440257,62387.80965,131445.4902,127141000,60.99128482,,32.1,35.6
2016,Japan,0.91,0.986,108.7929,63247.04936,132000.4496,126994511,60.49382348,,32.1,31.5
2017,Japan,0.913,0.989,112.1661411,67603.37493,136411.3416,126785797,60.07613014,,32.1,34.6
2018,Japan,0.915,0.992,110.4231793,75149.28941,142241.889,126529100,59.72678128,,,
1998,Malaysia,0.709,0.804,3.924375,8957,19000,22114654,61.79058465,,,
1999,Malaysia,0.715,0.806,3.8,9060,21424.5,22661298,62.24440453,,,
